Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Kalmar;0880;Kalmar län;08;Samtliga;Svenska;638;313;325;95,3;97,8;92,9;13,4;14,5;12,3;92,6;90,5;94,8;
Kalmar;0880;Kalmar län;08;Samtliga;Svenska som andraspråk;95;37;58;77,9;83,8;74,1;9,3;10,9;8,4;88,8;86,0;90,6;
Kalmar;0880;Kalmar län;08;Samtliga;Engelska;718;348;370;98,2;~100;..;15,8;15,9;15,7;90,1;89,5;90,7;
Kalmar;0880;Kalmar län;08;Samtliga;Matematik;725;347;378;85,5;87,6;83,6;11,6;12,0;11,3;91,0;89,2;92,6;
Kalmar;0880;Kalmar län;08;Kommunal;Engelska;577;269;308;97,9;~100;..;15,7;15,7;15,8;89,9;89,1;90,6;
Kalmar;0880;Kalmar län;08;Kommunal;Matematik;584;269;315;87,7;90,0;85,7;11,9;12,2;11,6;91,0;89,1;92,6;
Kalmar;0880;Kalmar län;08;Kommunal;Svenska;517;245;272;96,9;~100;..;13,5;14,5;12,6;93,0;90,1;95,8;
Kalmar;0880;Kalmar län;08;Kommunal;Svenska som andraspråk;75;26;49;76,0;80,8;73,5;9,0;10,6;8,2;88,2;86,7;89,1;
Kalmar;0880;Kalmar län;08;Enskild;Engelska;141;79;62;~100;100,0;~100;16,1;16,6;15,5;91,0;90,8;91,2;
Kalmar;0880;Kalmar län;08;Enskild;Matematik;141;78;63;76,6;79,5;73,0;10,6;11,3;9,8;91,0;89,7;92,6;
Kalmar;0880;Kalmar län;08;Enskild;Svenska;121;68;53;88,4;~100;..;12,7;14,6;10,3;91,0;91,9;89,8;
Kalmar;0880;Kalmar län;08;Enskild;Svenska som andraspråk;20;..;..;~100;~100;..;10,5;11,6;..;90,9;84,6;..;
Karlsborg;1446;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Karlsborg;1446;Västra Götalands län;14;Samtliga;Matematik;79;41;38;89,9;..;~100;12,2;11,5;12,9;95,2;93,2;97,4;
Karlsborg;1446;Västra Götalands län;14;Samtliga;Engelska;77;40;37;100,0;100,0;100,0;15,1;15,0;15,3;92,8;90,9;94,9;
Karlsborg;1446;Västra Götalands län;14;Samtliga;Svenska;72;38;34;91,7;~100;~100;12,4;13,5;11,1;98,6;100,0;97,1;
Karlsborg;1446;Västra Götalands län;14;Kommunal;Matematik;79;41;38;89,9;..;~100;12,2;11,5;12,9;95,2;93,2;97,4;
Karlsborg;1446;Västra Götalands län;14;Kommunal;Engelska;77;40;37;100,0;100,0;100,0;15,1;15,0;15,3;92,8;90,9;94,9;
Karlsborg;1446;Västra Götalands län;14;Kommunal;Svenska;72;38;34;91,7;~100;~100;12,4;13,5;11,1;98,6;100,0;97,1;
Karlsborg;1446;Västra Götalands län;14;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Karlshamn;1082;Blekinge län;10;Samtliga;Matematik;317;157;160;88,0;90,4;85,6;11,6;11,7;11,5;90,6;91,3;89,9;
Karlshamn;1082;Blekinge län;10;Samtliga;Svenska;271;127;144;93,4;~100;..;13,0;14,5;11,7;92,5;90,7;94,1;
Karlshamn;1082;Blekinge län;10;Samtliga;Svenska som andraspråk;53;31;22;86,8;~100;..;10,8;12,2;9,0;93,0;96,9;88,0;
Karlshamn;1082;Blekinge län;10;Samtliga;Engelska;321;159;162;96,0;96,9;95,1;14,9;15,0;14,9;91,7;92,4;91,0;
Karlshamn;1082;Blekinge län;10;Kommunal;Svenska;206;105;101;95,1;~100;..;13,3;14,4;12,1;92,4;91,3;93,5;
Karlshamn;1082;Blekinge län;10;Kommunal;Matematik;246;131;115;86,2;89,3;82,6;11,5;11,6;11,3;91,1;92,3;89,8;
Karlshamn;1082;Blekinge län;10;Kommunal;Engelska;248;131;117;95,6;96,2;94,9;14,8;14,7;15,0;91,9;92,3;91,4;
Karlshamn;1082;Blekinge län;10;Kommunal;Svenska som andraspråk;43;26;17;86,0;~100;..;11,0;12,7;8,5;91,5;96,3;85,0;
Karlshamn;1082;Blekinge län;10;Enskild;Engelska;73;28;45;~100;100,0;~100;15,3;16,1;14,8;91,3;93,3;90,0;
Karlshamn;1082;Blekinge län;10;Enskild;Matematik;71;26;45;~100;~100;~100;12,2;12,1;12,2;88,8;86,7;90,0;
Karlshamn;1082;Blekinge län;10;Enskild;Svenska;65;22;43;87,7;100,0;81,4;12,1;15,0;10,6;92,9;88,0;95,6;
Karlshamn;1082;Blekinge län;10;Enskild;Svenska som andraspråk;10;..;..;..;..;..;10,0;..;..;100,0;..;..;
Karlskoga;1883;Örebro län;18;Samtliga;Svenska;273;148;125;94,9;96,6;92,8;12,9;13,7;11,9;92,2;95,5;88,7;
Karlskoga;1883;Örebro län;18;Samtliga;Svenska som andraspråk;56;26;30;71,4;76,9;66,7;8,5;9,3;7,8;78,9;72,2;85,7;
Karlskoga;1883;Örebro län;18;Samtliga;Engelska;314;158;156;97,5;~100;~100;15,3;15,2;15,5;85,6;82,7;88,6;
Karlskoga;1883;Örebro län;18;Samtliga;Matematik;320;166;154;85,0;82,5;87,7;11,3;10,8;11,8;87,2;86,9;87,5;
Karlskoga;1883;Örebro län;18;Kommunal;Svenska;273;148;125;94,9;96,6;92,8;12,9;13,7;11,9;92,2;95,5;88,7;
Karlskoga;1883;Örebro län;18;Kommunal;Engelska;314;158;156;97,5;~100;~100;15,3;15,2;15,5;85,6;82,7;88,6;
Karlskoga;1883;Örebro län;18;Kommunal;Matematik;320;166;154;85,0;82,5;87,7;11,3;10,8;11,8;87,2;86,9;87,5;
Karlskoga;1883;Örebro län;18;Kommunal;Svenska som andraspråk;56;26;30;71,4;76,9;66,7;8,5;9,3;7,8;78,9;72,2;85,7;
Karlskrona;1080;Blekinge län;10;Samtliga;Matematik;708;337;371;87,7;88,1;87,3;11,8;11,8;11,9;88,4;86,0;90,7;
Karlskrona;1080;Blekinge län;10;Samtliga;Engelska;715;342;373;96,6;96,5;96,8;15,4;15,3;15,5;89,3;87,2;91,2;
Karlskrona;1080;Blekinge län;10;Samtliga;Svenska;503;234;269;95,4;~100;..;13,6;14,8;12,5;68,2;66,1;70,1;
Karlskrona;1080;Blekinge län;10;Samtliga;Svenska som andraspråk;29;16;13;72,4;~100;..;8,6;10,2;6,7;46,0;42,1;52,0;
Karlskrona;1080;Blekinge län;10;Kommunal;Svenska som andraspråk;28;15;13;75,0;~100;..;8,9;10,8;6,7;45,2;40,5;52,0;
Karlskrona;1080;Blekinge län;10;Kommunal;Svenska;321;156;165;93,5;~100;..;13,3;14,5;12,2;60,2;59,3;61,1;
Karlskrona;1080;Blekinge län;10;Kommunal;Engelska;524;258;266;95,8;95,7;95,9;15,0;15,0;15,0;88,1;86,0;90,2;
Karlskrona;1080;Blekinge län;10;Kommunal;Matematik;525;258;267;86,1;87,2;85,0;11,6;11,6;11,6;88,2;86,0;90,5;
Karlskrona;1080;Blekinge län;10;Enskild;Matematik;183;79;104;92,3;91,1;93,3;12,5;12,5;12,6;88,8;85,9;91,2;
Karlskrona;1080;Blekinge län;10;Enskild;Engelska;191;84;107;~100;~100;~100;16,5;16,3;16,7;92,7;91,3;93,9;
Karlskrona;1080;Blekinge län;10;Enskild;Svenska;182;78;104;~100;100,0;~100;14,0;15,2;13,1;88,8;85,7;91,2;
Karlskrona;1080;Blekinge län;10;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Karlstad;1780;Värmlands län;17;Samtliga;Svenska som andraspråk;113;45;68;79,6;80,0;79,4;10,0;10,7;9,4;81,9;80,4;82,9;
Karlstad;1780;Värmlands län;17;Samtliga;Svenska;811;429;382;95,8;96,7;94,8;13,7;14,5;12,8;88,7;90,7;86,7;
Karlstad;1780;Värmlands län;17;Samtliga;Matematik;909;451;458;86,2;84,9;87,6;11,5;11,3;11,7;86,3;85,3;87,4;
Karlstad;1780;Värmlands län;17;Samtliga;Engelska;917;472;445;97,5;97,0;98,0;15,8;15,7;15,9;87,1;89,2;84,9;
Karlstad;1780;Värmlands län;17;Kommunal;Matematik;700;333;367;84,1;82,3;85,8;11,2;10,7;11,5;85,8;85,6;85,9;
Karlstad;1780;Värmlands län;17;Kommunal;Svenska som andraspråk;72;29;43;72,2;69,0;74,4;8,2;8,2;8,2;75,8;76,3;75,4;
Karlstad;1780;Värmlands län;17;Kommunal;Svenska;634;319;315;95,6;96,6;94,6;13,0;13,7;12,3;88,1;90,9;85,4;
Karlstad;1780;Värmlands län;17;Kommunal;Engelska;698;345;353;97,0;96,2;97,7;15,3;14,9;15,6;85,5;88,7;82,7;
Karlstad;1780;Värmlands län;17;Enskild;Svenska;177;110;67;96,6;~100;~100;16,0;16,8;14,7;91,2;90,2;93,1;
Karlstad;1780;Värmlands län;17;Enskild;Matematik;209;118;91;93,3;92,4;94,5;12,8;12,9;12,6;88,2;84,3;93,8;
Karlstad;1780;Värmlands län;17;Enskild;Engelska;219;127;92;~100;~100;~100;17,6;18,1;17,1;92,4;90,7;94,8;
Karlstad;1780;Värmlands län;17;Enskild;Svenska som andraspråk;41;16;25;~100;100,0;~100;13,0;15,3;11,6;95,3;88,9;100,0;
Katrineholm;0483;Södermanlands län;04;Samtliga;Svenska;347;168;179;92,2;94,6;89,9;12,0;13,1;10,9;94,0;92,8;95,2;
Katrineholm;0483;Södermanlands län;04;Samtliga;Matematik;392;177;215;80,4;78,0;82,3;10,5;10,4;10,7;87,9;85,5;90,0;
Katrineholm;0483;Södermanlands län;04;Samtliga;Engelska;374;172;202;97,9;~100;~100;15,1;15,0;15,2;83,9;83,1;84,5;
Katrineholm;0483;Södermanlands län;04;Samtliga;Svenska som andraspråk;64;22;42;67,2;72,7;64,3;8,0;8,9;7,6;83,1;84,6;82,4;
Katrineholm;0483;Södermanlands län;04;Kommunal;Svenska som andraspråk;61;20;41;67,2;70,0;65,9;8,1;8,6;7,8;82,4;83,3;82,0;
Katrineholm;0483;Södermanlands län;04;Kommunal;Engelska;284;121;163;98,2;~100;~100;15,0;15,2;14,9;80,2;77,6;82,3;
Katrineholm;0483;Södermanlands län;04;Kommunal;Matematik;303;128;175;75,6;70,3;79,4;9,7;8,9;10,3;85,6;82,1;88,4;
Katrineholm;0483;Södermanlands län;04;Kommunal;Svenska;258;119;139;91,5;94,1;89,2;11,7;12,7;10,8;92,1;90,2;93,9;
Katrineholm;0483;Södermanlands län;04;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Katrineholm;0483;Södermanlands län;04;Enskild;Svenska;89;49;40;94,4;~100;~100;12,9;14,2;11,4;100,0;100,0;100,0;
Katrineholm;0483;Södermanlands län;04;Enskild;Engelska;90;51;39;~100;~100;100,0;15,5;14,7;16,5;97,8;100,0;95,1;
Katrineholm;0483;Södermanlands län;04;Enskild;Matematik;89;49;40;~100;~100;~100;13,2;14,1;12,2;96,7;96,1;97,6;
Kil;1715;Värmlands län;17;Samtliga;Matematik;91;45;46;72,5;64,4;80,4;9,2;7,9;10,5;76,5;75,0;78,0;
Kil;1715;Värmlands län;17;Samtliga;Engelska;89;40;49;94,4;~100;~100;14,3;13,6;14,8;74,8;66,7;83,1;
Kil;1715;Värmlands län;17;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Kil;1715;Värmlands län;17;Samtliga;Svenska;87;40;47;90,8;~100;..;11,4;12,1;10,9;79,1;72,7;85,5;
Kil;1715;Värmlands län;17;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Kil;1715;Värmlands län;17;Kommunal;Svenska;87;40;47;90,8;~100;..;11,4;12,1;10,9;79,1;72,7;85,5;
Kil;1715;Värmlands län;17;Kommunal;Matematik;91;45;46;72,5;64,4;80,4;9,2;7,9;10,5;76,5;75,0;78,0;
Kil;1715;Värmlands län;17;Kommunal;Engelska;89;40;49;94,4;~100;~100;14,3;13,6;14,8;74,8;66,7;83,1;
Kinda;0513;Östergötlands län;05;Samtliga;Svenska;66;28;38;77,3;~100;..;10,7;13,5;8,7;69,5;59,6;79,2;
Kinda;0513;Östergötlands län;05;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Kinda;0513;Östergötlands län;05;Samtliga;Matematik;95;48;47;77,9;85,4;70,2;10,2;11,1;9,1;88,0;87,3;88,7;
Kinda;0513;Östergötlands län;05;Samtliga;Engelska;89;43;46;~100;100,0;~100;14,7;15,2;14,2;82,4;78,2;86,8;
Kinda;0513;Östergötlands län;05;Kommunal;Engelska;89;43;46;~100;100,0;~100;14,7;15,2;14,2;82,4;78,2;86,8;
Kinda;0513;Östergötlands län;05;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Kinda;0513;Östergötlands län;05;Kommunal;Svenska;66;28;38;77,3;~100;..;10,7;13,5;8,7;69,5;59,6;79,2;
Kinda;0513;Östergötlands län;05;Kommunal;Matematik;95;48;47;77,9;85,4;70,2;10,2;11,1;9,1;88,0;87,3;88,7;
Kiruna;2584;Norrbottens län;25;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Kiruna;2584;Norrbottens län;25;Samtliga;Engelska;201;98;103;96,0;..;~100;14,7;15,0;14,4;93,1;93,3;92,8;
Kiruna;2584;Norrbottens län;25;Samtliga;Svenska;192;90;102;92,7;~100;..;12,6;14,6;10,9;93,2;92,8;93,6;
Kiruna;2584;Norrbottens län;25;Samtliga;Matematik;192;95;97;76,6;77,9;75,3;10,1;10,2;9,9;88,9;90,5;87,4;
Kiruna;2584;Norrbottens län;25;Kommunal;Matematik;168;86;82;74,4;75,6;73,2;9,8;10,0;9,5;88,4;90,5;86,3;
Kiruna;2584;Norrbottens län;25;Kommunal;Engelska;176;89;87;95,5;..;~100;14,4;14,8;14,1;92,6;93,7;91,6;
Kiruna;2584;Norrbottens län;25;Kommunal;Svenska;167;81;86;92,2;~100;..;12,4;14,4;10,4;92,8;93,1;92,5;
Kiruna;2584;Norrbottens län;25;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Kiruna;2584;Norrbottens län;25;Enskild;Matematik;24;..;..;~100;..;~100;11,9;..;11,8;92,3;..;93,8;
Kiruna;2584;Norrbottens län;25;Enskild;Svenska;25;..;..;~100;..;~100;14,2;..;13,4;96,2;..;100,0;
Kiruna;2584;Norrbottens län;25;Enskild;Engelska;25;..;..;100,0;..;100,0;16,3;..;16,1;96,2;..;100,0;
Klippan;1276;Skåne län;12;Samtliga;Svenska;113;60;53;87,6;91,7;83,0;11,5;12,7;10,2;93,4;93,8;93,0;
Klippan;1276;Skåne län;12;Samtliga;Matematik;134;64;70;79,9;78,1;81,4;10,4;10,7;10,2;90,5;88,9;92,1;
Klippan;1276;Skåne län;12;Samtliga;Engelska;137;66;71;91,2;~100;..;13,9;15,0;13,0;92,6;91,7;93,4;
Klippan;1276;Skåne län;12;Samtliga;Svenska som andraspråk;26;..;..;76,9;..;~100;9,3;..;9,4;96,3;..;94,7;
Klippan;1276;Skåne län;12;Kommunal;Svenska;113;60;53;87,6;91,7;83,0;11,5;12,7;10,2;93,4;93,8;93,0;
Klippan;1276;Skåne län;12;Kommunal;Matematik;134;64;70;79,9;78,1;81,4;10,4;10,7;10,2;90,5;88,9;92,1;
Klippan;1276;Skåne län;12;Kommunal;Engelska;137;66;71;91,2;~100;..;13,9;15,0;13,0;92,6;91,7;93,4;
Klippan;1276;Skåne län;12;Kommunal;Svenska som andraspråk;26;..;..;76,9;..;~100;9,3;..;9,4;96,3;..;94,7;
Knivsta;0330;Uppsala län;03;Samtliga;Svenska;247;112;135;96,0;~100;..;13,5;14,6;12,5;92,2;88,9;95,1;
Knivsta;0330;Uppsala län;03;Samtliga;Matematik;251;115;136;90,8;90,4;91,2;12,8;12,6;12,9;88,1;84,6;91,3;
Knivsta;0330;Uppsala län;03;Samtliga;Engelska;256;118;138;97,7;..;~100;15,6;15,2;15,9;89,8;86,8;92,6;
Knivsta;0330;Uppsala län;03;Samtliga;Svenska som andraspråk;16;..;..;~100;..;..;11,3;..;..;94,1;..;..;
Knivsta;0330;Uppsala län;03;Kommunal;Svenska;225;102;123;95,6;~100;..;13,3;14,6;12,3;91,8;88,7;94,6;
Knivsta;0330;Uppsala län;03;Kommunal;Matematik;229;104;125;91,3;91,3;91,2;12,9;12,7;13,0;87,4;83,2;91,2;
Knivsta;0330;Uppsala län;03;Kommunal;Engelska;236;109;127;97,5;..;~100;15,4;15,0;15,7;90,1;87,2;92,7;
Knivsta;0330;Uppsala län;03;Kommunal;Svenska som andraspråk;16;..;..;~100;..;..;11,3;..;..;94,1;..;..;
Knivsta;0330;Uppsala län;03;Enskild;Engelska;20;..;..;100,0;..;100,0;18,0;..;18,4;87,0;..;91,7;
Knivsta;0330;Uppsala län;03;Enskild;Matematik;22;11;11;~100;..;~100;11,6;11,1;12,0;95,7;100,0;91,7;
Knivsta;0330;Uppsala län;03;Enskild;Svenska;22;10;12;100,0;100,0;100,0;14,9;15,0;14,8;95,7;90,9;100,0;
Kramfors;2282;Västernorrlands län;22;Samtliga;Svenska;146;71;75;87,7;~100;..;11,2;12,4;10,2;86,4;85,5;87,2;
Kramfors;2282;Västernorrlands län;22;Samtliga;Matematik;148;73;75;77,0;75,3;78,7;9,9;9,3;10,5;78,7;80,2;77,3;
Kramfors;2282;Västernorrlands län;22;Samtliga;Engelska;161;80;81;95,7;~100;~100;14,5;14,0;15,0;86,2;87,9;84,5;
Kramfors;2282;Västernorrlands län;22;Samtliga;Svenska som andraspråk;11;..;..;..;..;..;4,3;..;..;57,9;..;..;
Kramfors;2282;Västernorrlands län;22;Kommunal;Engelska;161;80;81;95,7;~100;~100;14,5;14,0;15,0;86,2;87,9;84,5;
Kramfors;2282;Västernorrlands län;22;Kommunal;Matematik;148;73;75;77,0;75,3;78,7;9,9;9,3;10,5;78,7;80,2;77,3;
Kramfors;2282;Västernorrlands län;22;Kommunal;Svenska som andraspråk;11;..;..;..;..;..;4,3;..;..;57,9;..;..;
Kramfors;2282;Västernorrlands län;22;Kommunal;Svenska;146;71;75;87,7;~100;..;11,2;12,4;10,2;86,4;85,5;87,2;
Kristianstad;1290;Skåne län;12;Samtliga;Svenska;769;391;378;92,3;95,9;88,6;12,8;14,0;11,7;90,7;90,3;91,1;
Kristianstad;1290;Skåne län;12;Samtliga;Engelska;951;480;471;95,2;94,0;96,4;14,8;14,8;14,9;89,0;89,6;88,5;
Kristianstad;1290;Skåne län;12;Samtliga;Matematik;968;485;483;84,8;84,5;85,1;11,1;11,1;11,1;90,6;90,5;90,8;
Kristianstad;1290;Skåne län;12;Samtliga;Svenska som andraspråk;195;91;104;69,2;75,8;63,5;8,2;9,4;7,2;88,6;88,3;88,9;
Kristianstad;1290;Skåne län;12;Kommunal;Svenska;686;354;332;92,3;96,3;88,0;12,7;13,9;11,4;90,4;89,8;91,0;
Kristianstad;1290;Skåne län;12;Kommunal;Svenska som andraspråk;188;89;99;69,1;76,4;62,6;8,2;9,5;7,0;89,1;89,0;89,2;
Kristianstad;1290;Skåne län;12;Kommunal;Matematik;875;444;431;84,3;84,0;84,7;11,1;11,1;11,1;90,2;89,9;90,5;
Kristianstad;1290;Skåne län;12;Kommunal;Engelska;862;444;418;95,0;93,9;96,2;14,8;14,7;14,8;88,9;89,9;87,8;
Kristianstad;1290;Skåne län;12;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Kristianstad;1290;Skåne län;12;Enskild;Svenska;83;37;46;92,8;~100;~100;13,6;14,1;13,3;93,3;94,9;92,0;
Kristianstad;1290;Skåne län;12;Enskild;Matematik;93;41;52;89,2;~100;..;11,5;11,4;11,5;94,9;97,6;92,9;
Kristianstad;1290;Skåne län;12;Enskild;Engelska;89;36;53;~100;~100;~100;15,5;15,0;15,8;90,8;85,7;94,6;
Kristinehamn;1781;Värmlands län;17;Samtliga;Engelska;218;97;121;~100;~100;~100;15,3;15,2;15,3;88,3;87,4;89,0;
Kristinehamn;1781;Värmlands län;17;Samtliga;Matematik;215;95;120;78,6;75,8;80,8;10,1;9,7;10,5;87,0;85,6;88,2;
Kristinehamn;1781;Värmlands län;17;Samtliga;Svenska;185;86;99;89,2;~100;..;12,0;13,4;10,9;87,3;88,7;86,1;
Kristinehamn;1781;Värmlands län;17;Samtliga;Svenska som andraspråk;32;13;19;68,8;~100;..;8,7;10,4;7,5;91,4;92,9;90,5;
Kristinehamn;1781;Värmlands län;17;Kommunal;Svenska;185;86;99;89,2;~100;..;12,0;13,4;10,9;87,3;88,7;86,1;
Kristinehamn;1781;Värmlands län;17;Kommunal;Svenska som andraspråk;32;13;19;68,8;~100;..;8,7;10,4;7,5;91,4;92,9;90,5;
Kristinehamn;1781;Värmlands län;17;Kommunal;Matematik;215;95;120;78,6;75,8;80,8;10,1;9,7;10,5;87,0;85,6;88,2;
Kristinehamn;1781;Värmlands län;17;Kommunal;Engelska;218;97;121;~100;~100;~100;15,3;15,2;15,3;88,3;87,4;89,0;
Krokom;2309;Jämtlands län;23;Samtliga;Engelska;200;86;114;96,5;..;~100;15,1;14,7;15,3;89,3;86,0;92,0;
Krokom;2309;Jämtlands län;23;Samtliga;Matematik;206;88;118;87,9;89,8;86,4;11,5;11,6;11,5;91,6;88,0;94,4;
Krokom;2309;Jämtlands län;23;Samtliga;Svenska;199;86;113;93,5;~100;..;12,7;14,1;11,7;92,1;90,5;93,4;
Krokom;2309;Jämtlands län;23;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Krokom;2309;Jämtlands län;23;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Krokom;2309;Jämtlands län;23;Kommunal;Svenska;199;86;113;93,5;~100;..;12,7;14,1;11,7;92,1;90,5;93,4;
Krokom;2309;Jämtlands län;23;Kommunal;Matematik;206;88;118;87,9;89,8;86,4;11,5;11,6;11,5;91,6;88,0;94,4;
Krokom;2309;Jämtlands län;23;Kommunal;Engelska;200;86;114;96,5;..;~100;15,1;14,7;15,3;89,3;86,0;92,0;
Kumla;1881;Örebro län;18;Samtliga;Svenska som andraspråk;22;..;..;63,6;..;..;6,7;6,5;..;88,0;100,0;..;
Kumla;1881;Örebro län;18;Samtliga;Svenska;210;108;102;88,6;95,4;81,4;11,8;12,9;10,6;87,9;88,5;87,2;
Kumla;1881;Örebro län;18;Samtliga;Matematik;230;121;109;83,5;81,8;85,3;11,1;10,6;11,7;87,1;89,6;84,5;
Kumla;1881;Örebro län;18;Samtliga;Engelska;231;120;111;97,4;~100;~100;14,7;14,5;14,9;87,9;88,9;86,8;
Kumla;1881;Örebro län;18;Kommunal;Svenska som andraspråk;22;..;..;63,6;..;..;6,7;6,5;..;88,0;100,0;..;
Kumla;1881;Örebro län;18;Kommunal;Svenska;210;108;102;88,6;95,4;81,4;11,8;12,9;10,6;87,9;88,5;87,2;
Kumla;1881;Örebro län;18;Kommunal;Matematik;230;121;109;83,5;81,8;85,3;11,1;10,6;11,7;87,1;89,6;84,5;
Kumla;1881;Örebro län;18;Kommunal;Engelska;231;120;111;97,4;~100;~100;14,7;14,5;14,9;87,9;88,9;86,8;
Kungsbacka;1384;Hallands län;13;Samtliga;Engelska;1 140;560;580;98,6;99,1;98,1;16,2;16,4;16,1;94,1;93,3;94,8;
Kungsbacka;1384;Hallands län;13;Samtliga;Matematik;1 127;551;576;91,7;92,7;90,6;12,9;13,1;12,8;93,0;91,8;94,1;
Kungsbacka;1384;Hallands län;13;Samtliga;Svenska;1 079;537;542;96,6;98,7;94,5;13,6;14,8;12,5;93,6;92,6;94,6;
Kungsbacka;1384;Hallands län;13;Samtliga;Svenska som andraspråk;34;11;23;55,9;..;..;6,9;8,6;6,1;57,6;55,0;59,0;
Kungsbacka;1384;Hallands län;13;Kommunal;Matematik;914;455;459;90,3;91,6;88,9;12,5;12,7;12,4;92,2;91,2;93,3;
Kungsbacka;1384;Hallands län;13;Kommunal;Engelska;927;465;462;98,3;98,9;97,6;15,9;16,0;15,7;93,5;93,2;93,9;
Kungsbacka;1384;Hallands län;13;Kommunal;Svenska som andraspråk;31;10;21;51,6;..;..;6,5;8,5;5,5;57,4;55,6;58,3;
Kungsbacka;1384;Hallands län;13;Kommunal;Svenska;873;444;429;96,1;98,4;93,7;13,4;14,5;12,2;93,2;92,3;94,1;
Kungsbacka;1384;Hallands län;13;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Kungsbacka;1384;Hallands län;13;Enskild;Engelska;213;95;118;100,0;100,0;100,0;17,9;18,0;17,7;96,4;94,1;98,3;
Kungsbacka;1384;Hallands län;13;Enskild;Matematik;213;96;117;97,7;~100;~100;14,7;15,0;14,5;96,4;95,0;97,5;
Kungsbacka;1384;Hallands län;13;Enskild;Svenska;206;93;113;~100;100,0;~100;14,7;16,1;13,7;95,4;93,9;96,6;
Kungsör;1960;Västmanlands län;19;Samtliga;Engelska;92;42;50;~100;~100;100,0;14,9;14,4;15,3;90,2;93,3;87,7;
Kungsör;1960;Västmanlands län;19;Samtliga;Svenska som andraspråk;22;..;..;~100;..;~100;9,5;..;9,3;100,0;..;100,0;
Kungsör;1960;Västmanlands län;19;Samtliga;Matematik;87;40;47;72,4;85,0;61,7;9,1;10,5;8,0;85,3;88,9;82,5;
Kungsör;1960;Västmanlands län;19;Samtliga;Svenska;61;32;29;91,8;~100;~100;11,9;12,5;11,2;76,3;78,0;74,4;
Kungsör;1960;Västmanlands län;19;Kommunal;Svenska som andraspråk;22;..;..;~100;..;~100;9,5;..;9,3;100,0;..;100,0;
Kungsör;1960;Västmanlands län;19;Kommunal;Svenska;61;32;29;91,8;~100;~100;11,9;12,5;11,2;76,3;78,0;74,4;
Kungsör;1960;Västmanlands län;19;Kommunal;Matematik;87;40;47;72,4;85,0;61,7;9,1;10,5;8,0;85,3;88,9;82,5;
Kungsör;1960;Västmanlands län;19;Kommunal;Engelska;92;42;50;~100;~100;100,0;14,9;14,4;15,3;90,2;93,3;87,7;
Kungälv;1482;Västra Götalands län;14;Samtliga;Svenska;531;267;264;93,2;96,3;90,2;12,8;13,8;11,7;87,7;87,0;88,4;
Kungälv;1482;Västra Götalands län;14;Samtliga;Matematik;536;273;263;88,8;89,0;88,6;12,1;11,9;12,4;87,9;88,3;87,4;
Kungälv;1482;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Kungälv;1482;Västra Götalands län;14;Samtliga;Engelska;532;269;263;98,3;..;~100;15,3;15,0;15,6;87,7;88,0;87,4;
Kungälv;1482;Västra Götalands län;14;Kommunal;Engelska;440;220;220;98,6;~100;~100;15,3;15,0;15,6;87,2;87,8;86,6;
Kungälv;1482;Västra Götalands län;14;Kommunal;Matematik;445;225;220;87,2;87,1;87,3;11,9;11,6;12,2;87,6;88,6;86,6;
Kungälv;1482;Västra Götalands län;14;Kommunal;Svenska;444;221;223;93,2;96,4;90,1;12,8;13,8;11,8;88,0;87,4;88,6;
